id,word,answer,choices,sentence_with_blank,meaning_jp,sentence_jp
1,ancient,ancient,ancient|exact|responsible|unable,"Jamie visited several ________ buildings when he went to Rome. Some of them were more than 2,000 years old.",古代の,ジェイミーはローマに行ったとき、いくつかの古代の建物を訪れました。そのいくつかは2000年以上前に建てられたものでした。
2,translate,translate,guide|throw|control|translate,Sally’s French teacher told her to read an article in a French newspaper and ________ it into English.,翻訳する,サリーのフランス語の先生は、フランス語の新聞の記事を読んで、それを英語に翻訳するように言いました。
3,countryside,countryside,decision|experiment|countryside|image,"Henry likes living in the city because there are so many things to do there. But he also loves nature, so sometimes he goes for a drive in the ________.",田舎,ヘンリーは都市での生活が好きで、そこでできることがたくさんあるからです。でも、自然も大好きなので、ときどき田舎にドライブに行きます。
4,tax,tax,tax|data|total|waste,"A : Is it true that the things in this store only cost 100 yen? B : Yes, but you will also need to pay ________, so they actually cost a little more.",税金,A: この店の商品は全部100円って本当？ B: はい、でも税金を払う必要があるので、実際には少し高くなります。
5,angrily,angrily,partly|angrily|secretly|tightly,"When the bus was an hour late, one man shouted ________ at the driver. He said that he had missed an important meeting.",怒って,バスが1時間遅れたとき、1人の男性が運転手に怒って叫びました。彼は重要な会議に遅れたと言いました。
6,rescue,rescue,weigh|produce|stamp|rescue,"Firefighters have to ________ people from buildings that are on fire. To do this, they must be strong and healthy.",救助する,消防士は火事の建物から人々を救助しなければなりません。そのためには、強く健康的でなければなりません。
7,released,released,released|trapped|divided|invented,"John loves the singer Ann May, and he cannot wait until her new CD is ________ next week. He has been waiting for it since her last CD came out two years ago.",発売される,ジョンは歌手のアンメイが大好きで、来週彼女の新しいCDが発売されるのを待ちきれません。彼は2年前に彼女の最後のCDが出て以来、待っていました。
8,spread,spread,spread|served|stretched|stood,"The news that Ms. Kelly, the art teacher, was going to get married ________ through the school very quickly. By lunchtime, almost all the students knew about it.",広まる,美術のケリー先生が結婚するというニュースは学校中にすぐに広まりました。昼食の時間までには、ほぼすべての生徒がそのことを知っていました。
9,stage,stage,stage|field|court|screen,"A : I’m really nervous about acting in the play next week. 
B : I know you’re worried now, but you’ll feel fine as soon as you get on the ________.",舞台,"A: 来週の劇で演技するのが本当に緊張するよ。 
B: 今は心配かもしれないけど、舞台に上がれば大丈夫だよ。"
10,lecture,lecture,comment|shipment|lecture|furniture,"Before Diane attended Professor Miller’s ________ at the university, she was not interested in Chinese art. However, now, she wants to learn more about it.",講義,ダイアンが大学でミラー教授の講義に出席する前は、中国の芸術には興味がありませんでした。しかし、今はもっと学びたいと思っています。
11,speaking,speaking,crying|chatting|screaming|speaking,"A : Have you heard that Andrew Robinson is going to be the new sales manager? 
B : Yes. Frankly ________, I don’t think he’s the best person for the job. He knows very little about sales.",率直に言うと,"A: アンドリュー・ロビンソンが新しい営業マネージャーになるって聞いた？ 
B: はい、率直に言うと、彼がその仕事に最適な人物だとは思いません。彼は営業についてほとんど知りません。"
12,out,out,by|out|off|for,"A : Michelle, could you take ________ the garbage? There are three bags by the front door. 
B : OK, Mom. I’ll do it now.",出す,A: ミシェル、ゴミを出してくれる？ 玄関に3つの袋があるよ。 B: はい、ママ、今やります。
13,make up your mind,make up your mind,mind your own business|make up your mind|keep a promise|keep the change,"A : I still can’t decide. What should I get, the pizza or the spaghetti? 
B : Please ________ quickly! We have to finish eating and go in 30 minutes.",決める,A: まだ決められない。ピザにすべきかスパゲティにすべきか？ B: 早く決めて！ 30分で食べ終わって出かけなきゃいけないよ。
14,across,across,at|across|aside|along,"While Paul was walking downtown, he ________ an old friend from high school. They went for lunch together.",偶然出会う,ポールがダウンタウンを歩いているとき、高校時代の古い友人に偶然出会いました。彼らは一緒にランチに行きました。
15,confident of,confident of,used up|derived from|similar to|confident of,"After easily beating the strongest team in the league, the coach of the baseball team was ________ winning next weekend’s game.",確信している,リーグ最強のチームを簡単に破った後、野球チームのコーチは次の週末の試合に勝つことに確信を持っていました。
16,brought up,brought up,shown off|put down|gotten into|brought up,Wakako is the best English speaker in her company’s Tokyo office. She has a British accent because she was ________ in the United Kingdom.,育てられる,ワカコは会社の東京オフィスで最も英語が上手な人です。彼女はイギリスで育ったので、ブリティッシュアクセントがあります。
17,turn down,turn down,look up|turn down|fill out|drop by,"A : Dad, could you please ________ the volume of the TV? I’m trying to study for a test. 
B : Oh, I’m sorry.",下げる,"A: パパ、テレビの音量を下げてくれる？ テスト勉強してるの。 
B: ああ、ごめん。"
18,much,much,too|so|very|much,"Stephanie thought she would not enjoy the movie Train Chaos, but it was ________ more exciting than she expected.",ずっと,ステファニーは映画『トレイン・カオス』を楽しくないと思っていましたが、予想していたよりもずっと興奮するものでした。
19,learning,learning,learn|learned|learning|to learn,"A : How are your piano lessons going, Harry? 
B : I gave up ________ the piano last year. Now, I’m taking guitar lessons instead.",学ぶこと,"A: ハリー、ピアノのレッスンはどう？ 
B: 去年、ピアノを学ぶのをやめたんだ。今は代わりにギターのレッスンを受けています。"
20,taken,taken,taking|to be taken|taken|to have taken,"According to a survey ________ by a major bank, an increasing number of people are worried about not having enough money in the future.",行われた,大手銀行が行った調査によると、将来お金が足りなくなることを心配する人が増えています。
21,trouble,trouble,interest|trouble|silence|memory,"Dana was having ________ with her science homework last night, so she asked her father for help.",困っていること,ダナは昨夜、科学の宿題で困っていたので、父親に助けを求めました。
22,formal,formal,tough|negative|sharp|formal,"A : Frank, what are you going to wear to the dinner party next Saturday? 
B : Well, it’s a ________ dinner, so I’ll have to wear a suit and tie.",正式な,A: フランク、来週土曜日のディナーパーティーには何を着ていく？ B: うーん、正式なディナーだから、スーツとネクタイを着ないといけないね。
23,perform,perform,sail|stamp|produce|perform,Jason is a member of the drama club and he will ________ in his school play next week. He is practicing hard for it every day.,演じる,ジェイソンは演劇クラブのメンバーです。彼は来週の学校の演劇で演じます。そのために毎日熱心に練習しています。
24,treats,treats,ignores|treats|melts|delivers,"Mr. Clark is a very popular teacher. He ________ his students kindly, so they all like him a lot.",親切に扱う,クラーク先生はとても人気のある教師です。彼は生徒たちを親切に扱うので、みんな彼をとても好きです。
25,surface,surface,object|position|surface|height,"Last winter, the ________ of Bear Lake froze, and people were able to skate on it.",表面,昨年冬、ベア湖の表面が凍り、人々はその上でスケートをすることができました。
26,recover,recover,shut|recover|protest|march,Angela broke her leg while she was playing basketball. It took her more than three months to ________ from her injury and be able to play again.,回復する,アンジェラはバスケットボールをしていて足を骨折しました。怪我から回復して再びプレーできるようになるまで、3か月以上かかりました。
27,happily,happily,suddenly|hardly|happily|immediately,"Mark loves his two dogs very much, and he spends hours ________ playing with them every day.",楽しく,マークは2匹の犬をとても愛していて、毎日何時間も楽しく一緒に遊んでいます。
28,recognize,recognize,recognize|mention|establish|combine,Denise saw one of her old classmates at a party yesterday. She did not ________ him at first because he had changed so much.,見分ける,デニスは昨日、パーティーで昔の同級生に会いました。彼がとても変わっていたので、最初は見分けられませんでした。
29,experiment,experiment,orchestra|attitude|experiment|image,"A : What did you do in science class today, Rebecca? 
B : We did an ________ to find out how light travels through water.",実験,"A: レベッカ、今日の科学の授業で何をしたの？ 
B: 光が水を通る仕組みを調べる実験をしました。"
30,rhythm,rhythm,distance|channel|belief|rhythm,"A : What do you think of this music? 
B : It’s too slow for me. I like music with a faster ________.",リズム,"A: この音楽どう思う？ 
B: 僕には遅すぎる。もっと速いリズムの音楽が好きだよ。"
31,catch up with,catch up with,catch up with|come up with|think better of|take notice of,"Ronald was sick last week, so he could not go to school. This week, he is studying hard to ________ his classmates.",追いつく,ロナルドは先週病気で学校に行けませんでした。今週は、クラスメートに追いつくために一生懸命勉強しています。
32,look down on,look down on,look back upon|look down on|see through|see about,"Adam used to ________ people who could not swim in the ocean. However, he realized that it was very difficult to swim against the waves after he tried it himself.",見下す,アダムは以前、海で泳げない人を軽視していました。しかし、自分で試してみて、波に逆らって泳ぐのがとても難しいことに気づきました。
33,of,of,of|in|for|from,Joseph did not get very good grades in his first year of college. He was ashamed ________ himself and decided to study harder during his second year.,恥ずかしい,ジョセフは大学の1年目であまり良い成績を取れませんでした。彼は自分を恥ずかしく思い、2年目にはもっと一生懸命勉強しようと決意しました。
34,get,get,hit|make|send|get,"A : We have a new sofa now. What shall we do with the old one? 
B : Let’s ________ rid of it. We don’t need it anymore.",取り除く,"A: 新しいソファを買ったよ。古いのはどうしよう？ 
B: もう必要ないから、取り除こうよ。"
35,instead of,instead of,instead of|ready for|according to|same as,"To save money, Gary started bringing lunch from home ________ eating at restaurants.",代わりに,お金を節約するために、ゲイリーはレストランで食べる代わりに家から昼食を持参し始めました。
36,from,from,into|above|from|of,Rachel often suffered ________ headaches. Her doctor told her that drinking more water and relaxing more often might help.,悩まされる,レイチェルはよく頭痛に悩まされていました。医者は、もっと水を飲んで頻繁にリラックスすると良いと彼女に言いました。
37,tried on,tried on,tried on|showed up|took on|gave up,"Maria ________ a number of coats, but she did not like any of them. She decided to go and look at the coats in another store.",試着する,マリアはたくさんのコートを試着しましたが、どれも気に入りませんでした。彼女は別の店でコートを見ることにしました。
38,other,other,both|else|any|other,"A : Are Paris and Berlin in the same country?
B : No. One is in France and the ________ is in Germany.",もう一方,"A: パリとベルリンは同じ国にあるの？ 
B: いいえ。一つはフランスで、もう一方はドイツにあります。"
39,whoever,whoever,whatever|whoever|whenever|wherever,Maple High School has a speech competition every year. The school gives a prize to ________ makes the best speech.,誰であれ,メープル高校では毎年スピーチコンテストが開催されます。学校は最も優れたスピーチをした人に賞を授与します。
40,be cleaned,be cleaned,be cleaned|clean|be cleaning|have cleaned,"A : Look at this kitchen floor! It needs to ________. 
B : Yes, it’s very dirty.",掃除される,"A: このキッチンの床を見て！ 掃除が必要だよ。 
B: うん、めっちゃ汚れてるね。"
41,enough,enough,enough|almost|ahead|even,"A : I finished cleaning my room, Mom. Take a look. 
B : It’s not good ________, Kevin. You must clean your desk and put your books away too.",十分に,"A: ママ、部屋の掃除終わったよ。見て。 
B: ケビン、十分じゃないよ。机も掃除して、本も片付けなさい。"
42,details,details,rounds|seasons|wheels|details,"A : How can I find more ________ about the cleaning service on your website? 
B : Just click on the information button at the top of our home page and you can see everything.",詳細,"A: ウェブサイトでクリーニングサービスの詳細をどうやって見つけるの？ 
B: ホームページの上にある情報ボタンをクリックすれば、全部見られるよ。"
43,consists,consists,warns|dreams|prays|consists,"The United States of America ________ of 50 states. The smallest state in the country is Rhode Island, and the largest is Alaska.",構成される,アメリカ合衆国は50の州から構成されています。国内で最も小さい州はロードアイランドで、最大はアラスカです。
44,seek,seek,send|explain|seek|mention,"Recently, the economy has been very good in the western part of the country, so a lot of people have gone there to ________ jobs.",探す,最近、国の西部で経済がとても好調なので、仕事を探しに多くの人がそこへ行っています。
45,form,form,form|lift|sew|major,"Michelle, Sarah, and Roger love to play music, so they have decided to ________ a band. They will call their new band The Celery Sticks.",結成する,ミシェル、サラ、ロジャーは音楽を演奏するのが大好きなので、バンドを結成することにしました。彼らの新しいバンドは「セロリスティックス」と名付けられます。
46,secret,secret,impossible|liquid|tiring|secret,Linda keeps ________ information such as her e-mail and bank passwords in a small notebook. She is careful not to let anyone else see the notebook.,秘密の,リンダはメールや銀行のパスワードなどの秘密の情報を小さなノートに保管しています。彼女は他の人に見られないように注意しています。
47,injury,injury,climate|injury|option|praise,Richard broke his leg when he went snowboarding last month. He was absent from school for several days because of his ________.,怪我,リチャードは先月スノーボード中に足を骨折しました。怪我のために数日間学校を欠席しました。
48,arrival,arrival,arrival|direction|material|connection,"Bart has been looking forward to his grandmother’s visit for months. She will come tomorrow, and he is excited about her ________.",到着,バートは数か月間、祖母の訪問を楽しみにしていました。彼女は明日来ます、そして彼は彼女の到着にワクワクしています。
49,traffic,traffic,entrance|image|traffic|fossil,"A : Why were you late for work today, Bob? 
B : The ________ was terrible. It took me an hour to drive 4 kilometers.",交通渋滞,"A: ボブ、今日仕事に遅れたのはなぜ？ 
B: 交通渋滞がひどかったんだ。4キロ走るのに1時間かかったよ。"
50,hurried,hurried,repeated|tapped|printed|hurried,"Scott ________ through his homework so that he could watch his favorite TV show. Because of this, he made many mistakes and did not get many answers right.",急ぐ,スコットは好きなテレビ番組を見るために宿題を急いでやりました。そのせいで多くのミスをして、正解をあまり得られませんでした。
51,play a part in,play a part in,play a joke on|play a part in|keep track of|keep pace with,"Mrs. Green decided to give a role to each student in the musical at the school festival. This way, every student could ________ the performance.",参加する,グリーン先生は学校祭のミュージカルで各生徒に役割を与えることにしました。これで、すべての生徒が公演に参加できます。
52,According to,According to,Hoping for|Adding up|According to|Hiding from,"A : ________ this website, Leonardo da Vinci was born in 1451. 
B : That’s not what my textbook says. It says he was born in 1452.",によると,"A: このウェブサイトによると、レオナルド・ダ・ヴィンチは1451年に生まれたんだ。 
B: 私の教科書ではそうじゃないよ。1452年って書いてある。"
53,heard from,heard from,paid for|passed by|heard from|talked over,"A : Have you ________ Fred recently? 
B : Yes. I got a message from him the other day. He said that he’s enjoying college.",連絡を受ける,"A: 最近フレッドから連絡あった？ 
B: うん、この前メッセージが来たよ。彼は大学生活を楽しんでるって言ってた。"
54,look it up,look it up,throw it away|take it away|save it up|look it up,"A : What does this word mean, Dad? 
B : I’m not sure. You’ll have to ________ in the dictionary.",調べる,"A: パパ、この単語の意味は何？ 
B: わからないな。辞書で調べなさい。"
55,all the time,all the time,at last|in the end|all the time|for once,"A : Do you know any good sightseeing places in London? 
B : Of course! I go there ________ on business, so I know the city really well.",しょっちゅう,"A: ロンドンの良い観光スポット知ってる？ 
B: もちろん！仕事でしょっちゅう行ってるから、街のことは本当によく知ってるよ。"
56,about,about,at|over|about|from,Nick is nearly three years old. He always wants to touch the new things he finds every day. He is very curious ________ anything he hasn’t seen before.,について,ニックはもうすぐ3歳です。彼は毎日見つける新しいものにいつも触りたがります。彼は見たことのないものに対してとても好奇心旺盛です。
57,help,help,set|take|dress|help,"A : I made these cookies for everyone this morning. Please ________ yourself. 
B : Thanks. They look delicious.",自由に取る,A: 今朝、みんなのためにクッキーを作ったよ。自由に取ってね。 B: ありがとう。おいしそう！
58,to carry,to carry,to carry|carrying|not carry|be carried,"A : Dad, this box is too heavy for me ________ upstairs. 
B : OK. I’ll take it upstairs for you.",運ぶこと,A: パパ、この箱は私には重すぎて2階に運べないよ。 B: わかった。パパが2階に運んであげるよ。
59,do I,do I,am I|I am|do I|I do,"A : I have so much homework to do this weekend. 
B : So ________. I have a science report, a history assignment, and an English paper to write for Monday.",私もだ,A: この週末、宿題がたくさんあるよ。 B: 私もだ。月曜までに科学レポート、歴史の課題、英語の論文を書かなきゃ。
60,lived,lived,lives|to live|is living|lived,"Hector wants a dog, but his family lives in a small apartment, and there is no space to keep a pet. He wishes he ________ in a bigger place.",住んでいたら,ヘクターは犬を飼いたいけど、家族は小さなアパートに住んでいて、ペットを飼うスペースがありません。彼はもっと広いところに住んでいたらと願っています。
61,peace,peace,peace|faith|honor|matter,The two leaders decided to stop the war between their countries. They promised their people that there would be ________.,平和,両国の指導者は戦争を終わらせることを決めました。彼らは国民に平和が訪れると約束しました。
62,fit,fit,sew|fit|cure|gain,Troy’s feet have grown so much this year that none of his shoes ________ him. His mother is taking him shopping today to buy new ones.,合う,トロイの足が今年とても大きくなり、どの靴も彼に合わなくなりました。今日、母親は彼を新しい靴を買いに連れて行きます。
63,approached,approached,celebrated|approached|separated|researched,"The little girl wanted to play with the cat. But whenever she ________ it, the cat ran away.",近づく,少女は猫と遊びたかったのですが、彼女が近づくたびに猫は逃げました。
64,eastern,eastern,relative|eastern|smooth|brave,"Momoko lives in Tokyo, which is in the ________ part of Japan. Every summer, she takes a train and visits her grandfather in Osaka, which is in the west.",東の,モモコは日本の東部にある東京に住んでいます。毎年夏、彼女は電車に乗って西部の大阪に住む祖父を訪ねます。
65,illness,illness,illness|facility|decade|immigration,Xiang could not go to work for two weeks because of a serious ________. She had to take a lot of medicine and went to see the doctor many times.,病気,シャンは重い病気のために2週間仕事に行けませんでした。彼女はたくさんの薬を飲み、何度も医者に診てもらいました。
66,furniture,furniture,atmosphere|religion|furniture|poverty,"Before Yasuko moved to her new apartment in Tokyo, she bought some ________. However, when she moved in, there was not enough space for the table and the bed.",家具,ヤスコは東京の新しいアパートに引っ越す前に家具を買いました。しかし、引っ越してみると、テーブルとベッドを置くスペースが足りませんでした。
67,rapidly,rapidly,exactly|pleasantly|fairly|rapidly,"In recent years, the city has had to build many new roads and schools because its population has grown so ________.",急速に,近年、都市の人口が急速に増えたため、多くの新しい道路や学校を建設する必要がありました。
68,advantage,advantage,advantage|destruction|laboratory|concentration,"Cars are safer than motorcycles, but the ________ of motorcycles is that they use less gasoline.",利点,車はオートバイより安全ですが、オートバイの利点はガソリンの使用量が少ないことです。
69,represent,represent,develop|exchange|represent|guide,"The colors on a map sometimes show different features of the earth. Blue is used to ________ water, and green is often used to show forests.",表す,地図の色は、地球のさまざまな特徴を表すことがあります。青は水を表すのに使われ、緑は森を表すことが多いです。
70,deliver,deliver,balance|deliver|operate|replace,"When my parents were young, a milkman brought milk to their homes every day, just like postmen and postwomen ________ letters to us now.",配達する,私の両親が若かった頃、牛乳配達員が毎日家に牛乳を届けてくれました。今、郵便配達員が手紙を配達してくれるのと同じように。
71,out,out,out|up|above|away,"A : Brian, I think the new boy at school is really cute, but I don’t know his name. 
B : He’s in my gym class. I’ll find ________ his name for you.",調べる,"A: ブライアン、学校の新入生の男の子、めっちゃかわいいと思うんだけど、名前がわからないの。 
B: 彼、僕の体育のクラスにいるよ。名前を調べてあげるね。"
72,keep on,keep on,turn on|keep on|bring up|sit up,"A : I’m taking a drawing class, but my pictures are always terrible! 
B : Just ________ trying. It takes a long time to learn a skill like that.",続ける,"A: 絵のクラスを取ってるけど、いつも絵がひどいんだ！ 
B: ただ続けなよ。そういうスキルを学ぶには時間がかかるんだから。"
73,for,for,about|for|by|across,"Andrew applied ________ three jobs, and he is now waiting to hear if any of the companies want to interview him.",応募する,アンドリューは3つの仕事に応募しました。そして今、どの会社が面接を希望するか連絡を待っています。
74,hangs up,hangs up,hangs up|carries out|puts away|goes ahead,"Lisa speaks to her parents on the phone every week because she lives far away and she misses them. After she ________, she soon starts to miss them again.",電話を切る,リサは遠くに住んでいて両親が恋しいので、毎週電話で話します。電話を切った後、すぐにまた恋しくなり始めます。
75,at the sight,at the sight,for the life|in the light|at the sight|on the point,"Sharon is really scared of spiders. There was one in her bedroom the other day. She jumped ________ of it, screamed, and hid in the bathroom.",見て,シャロンはクモが本当に怖いです。この前、寝室にクモがいたんです。彼女はそれを見て飛び上がり、叫んで、バスルームに隠れました。
76,detail,detail,case|detail|hand|touch,Mr. Simmons not only teaches his students to play the piano but also tells them in ________ about the lives of the most famous pianists in history.,詳細に,シモンズ先生は生徒にピアノの弾き方を教えるだけでなく、歴史上最も有名なピアニストの人生について詳細に話します。
77,make money,make money,take pride|make money|give birth|lose speed,"Daisy tried to ________ in several ways when she was at college. She had jobs in the college library and cafeteria, and she even worked as a model for art classes.",お金を稼ぐ,デイジーは大学時代にいくつかの方法でお金を稼ごうとしました。彼女は大学の図書館やカフェテリアで働き、美術の授業のモデルとしても働きました。
78,the others,the others,all another|another ones|the other|the others,"Jane’s sister has four sons. One is a high school student, and ________ are elementary school students.",残りの,ジェーンの姉には4人の息子がいます。1人は高校生で、残りの子たちは小学生です。
79,in,in,at|in|of|behind,Sandra thought her pet dog Charlie looked so cute ________ his new jacket. She took some photos of him and shared them online with her friends.,着て,サンドラはペットの犬チャーリーが新しいジャケットを着てとてもかわいいと思いました。彼女は彼の写真を撮り、友達とオンラインで共有しました。
80,second-largest,second-largest,second-largest|second-larger|two-larger|two-largest,Barcelona is the ________ city in Spain. Only Madrid is bigger.,2番目に大きい,バルセロナはスペインで2番目に大きい都市です。マドリードだけがそれより大きいです。
81,struck,struck,mixed|chewed|struck|copied,"Ryuji’s teammate passed the soccer ball to Ryuji. He ________ the ball as hard as he could, and it flew past the goalkeeper and into the goal.",強く蹴る,龍二のチームメイトがサッカーボールを龍二にパスしました。彼はボールをできるだけ強く蹴り、それはゴールキーパーを越えてゴールに入りました。
82,fever,fever,grade|surprise|custom|fever,"A : Dad, I don’t feel well. My head hurts and I think I have a ________. 
B : I see. Let me check your temperature.",発熱,"A: パパ、気分が悪いよ。頭が痛いし、熱があると思う。
B: そうか。体温を測ってみるよ。"
83,transport,transport,transport|design|consult|reject,"Most companies use ships to ________ their products overseas. Airplanes are much faster, but they are usually much more expensive.",輸送する,ほとんどの企業は船を使って製品を海外に輸送します。飛行機はもっと速いですが、通常はかなり高価です。
84,encouraged,encouraged,frightened|encouraged|delivered|followed,"After the basketball game, Mark’s coach said many nice things about his passing and defense. He felt ________ to hear that he was doing a good job.",励まされる,バスケットボールの試合後、マークのコーチは彼のパスとディフェンスについて多くの良いことを言いました。彼は良い仕事をしていると言われて励まされました。
85,hired,hired,collected|hired|exchanged|carried,"A : How long have you been working here, Sabrina? 
B : I’m new. I was ________ two weeks ago.",雇われる,"A: サブリナ、ここで働き始めてどのくらい？ 
B: 新しいんだ。2週間前に雇われたの。"
86,region,region,safety|region|theme|laundry,"Kansai is a ________ in western Japan. Its three largest cities are Osaka, Kyoto, and Kobe.",地域,関西は日本の西部にある地域です。その3つの最大の都市は大阪、京都、神戸です。
87,solve,solve,solve|repair|miss|invent,"A : Could you answer all the questions in our math homework? 
B : Nearly. I couldn’t ________ the last one, though.",解く,"A: 数学の宿題の質問全部答えられた？ 
B: ほとんどね。でも、最後の問題は解けなかったよ。"
88,essays,essays,essays|victories|systems|miracles,"Kelly writes two ________ every month for her English class. Last month, she wrote about a book that she had recently read and what she did during the summer vacation.",エッセイ,ケリーは英語の授業のために毎月2つのエッセイを書きます。先月、彼女は最近読んだ本と夏休みにしたことについて書きました。
89,cheaply,cheaply,powerfully|lately|bravely|cheaply,"There is a store by Lucy’s house that sells clothes very ________. On Saturday, Lucy bought a blouse there for only $10.",安く,ルーシーの家の近くに服をとても安く売る店があります。土曜日、ルーシーはそこで10ドルだけでブラウスを買いました。
90,wealth,wealth,pain|wealth|nonsense|literature,David became very rich after he created a popular smartphone app. He uses most of his ________ to help people who do not have much money.,富,デビッドは人気のスマートフォンアプリを作った後、とても裕福になりました。彼はその富のほとんどを、お金があまりない人々を助けるために使っています。
91,suffering from,suffering from,suffering from|depending on|giving up|majoring in,Lester could not go to school for three days last week because he was ________ a bad cold. He feels much better this week.,悩まされる,レスターは先週、ひどい風邪に悩まされて3日間学校に行けませんでした。今週はだいぶ良くなりました。
92,pay attention,pay attention,shake hands|make sense|take turns|pay attention,"A : I’m sorry I didn’t hear your question, Ms. Nakayama. 
B : Please ________, Asako. You can’t learn if you don’t listen in class!",注意を払う,"A: 中山先生、質問が聞こえませんでした、ごめんなさい。 
B: 浅子、注意して。授業で聞かないと学べないよ！"
93,in place,in place,on behalf|for fear|by way|in place,A tree had fallen on the train line to Karinville. Passengers traveling there had to take buses ________ of trains until the problem was fixed.,代わりに,カリンvilleへの鉄道線路に木が倒れていました。そこへ行く乗客は、問題が解決するまで電車の代わりにバスに乗らなければなりませんでした。
94,by mistake,by mistake,at present|by mistake|for nothing|with ease,"A : Excuse me. I think you have my suitcase. 
B : Oh, sorry! I must have taken it ________. It looks just like mine.",間違えて,"A: すみません、私のスーツケースを持ってると思います。 
B: ああ、ごめん！間違えて持っちゃったんだ。私のとそっくりだ。"
95,one another,one another,any other|one another|every other|another one,Tetsuya has a Canadian friend called Todd. Tetsuya and Todd write to ________ at least once a month.,互いに,哲也にはカナダ人の友達トッドがいます。哲也とトッドは少なくとも月に一度、互いに手紙を書きます。
96,hoping for,hoping for,hoping for|taking over|putting away|showing off,"A : Do you know whether your baby will be a boy or a girl? 
B : No, not yet. My husband and I are ________ a girl because our first child is a boy.",望む,"A: 赤ちゃんが男の子か女の子かもうわかった？ 
B: まだわからないよ。最初の子供が男の子だから、夫と私は女の子を望んでるの。"
97,agree on,agree on,pour out|agree on|run over|hold up,"Tom and Helen both wanted to get a puppy, but they could not ________ a name for it. Tom wanted to call it Buddy, but Helen wanted to call it Max.",合意する,トムとヘレンは二人とも子犬を飼いたかったけど、名前で合意できませんでした。トムはバディと呼びたかったけど、ヘレンはマックスと呼びたかった。
